datetime	cnt	tL	X	Y	Z	tP8
2016-10-15 02:00:00	2.3333333333333335	19.383083333333335	-19.036	-8.577	1.548	2.8828325e-06
2016-10-15 03:00:00	2.3333333333333335	19.5105	-19.036	-8.577	1.548	2.8267141666666665e-06
2016-10-15 04:00:00	2.3333333333333335	19.638499999999997	-19.036	-8.577	1.548	3.2203533333333334e-06
2016-10-15 05:00:00	2.3333333333333335	19.767666666666667	-19.036	-8.577	1.548	2.7863541666666667e-06
2016-10-15 06:00:00	2.3333333333333335	19.896583333333336	-19.036	-8.577	1.548	2.0210841666666666e-06
2016-10-15 07:00:00	2.8333333333333335	20.027166666666666	-19.036	-8.577	1.548	3.853835833333333e-06
2016-10-15 08:00:00	2.3333333333333335	20.158333333333335	-19.036	-8.577	1.548	3.1967e-06
2016-10-15 09:00:00	2.4166666666666665	20.2895	-19.036	-8.577	1.548	2.3808566666666667e-06
2016-10-15 10:00:00	2.3333333333333335	20.42125	-19.036	-8.577	1.548	2.0957916666666666e-06
2016-10-15 11:00:00	2.3333333333333335	20.554	-19.036	-8.577	1.548	2.7134608333333334e-06
2016-10-15 12:00:00	2.3333333333333335	20.686333333333334	-19.036	-8.577	1.548	3.29536e-06
2016-10-15 13:00:00	2.4166666666666665	20.8195	-19.036	-8.577	1.548	2.3178908333333333e-06
2016-10-15 14:00:00	2.0	20.913999999999998	-19.036	-8.577	1.548	3.6398539999999997e-06
2016-10-19 03:00:00	2.0	34.346	-19.036	-8.577	1.548	6.0712e-07
2016-10-19 04:00:00	2.3333333333333335	34.4675	-19.036	-8.577	1.548	1.3132191666666666e-06
2016-10-19 05:00:00	2.3333333333333335	34.70366666666667	-19.036	-8.577	1.548	1.8006989166666667e-06
2016-10-19 06:00:00	2.3333333333333335	34.94616666666666	-19.036	-8.577	1.548	2.7749408333333334e-06
2016-10-19 07:00:00	2.4166666666666665	35.19258333333333	-19.036	-8.577	1.548	2.4547875e-06
2016-10-19 08:00:00	2.3333333333333335	35.44475	-19.036	-8.577	1.548	4.868758333333334e-06
2016-10-19 09:00:00	2.3333333333333335	35.702416666666664	-19.036	-8.577	1.548	1.7802605e-05
2016-10-19 10:00:00	2.3333333333333335	35.965916666666665	-19.036	-8.577	1.548	3.679315e-06
2016-10-19 11:00:00	2.4166666666666665	36.234833333333334	-19.036	-8.577	1.548	3.461776666666667e-06
2016-10-19 12:00:00	2.3333333333333335	36.51025	-19.036	-8.577	1.548	3.196448333333333e-06
2016-10-19 13:00:00	2.3333333333333335	36.793083333333335	-19.036	-8.577	1.548	5.291974166666667e-06
2016-10-19 14:00:00	2.3333333333333335	37.080999999999996	-19.036	-8.577	1.548	3.959266666666667e-06
2016-10-19 15:00:00	2.4166666666666665	37.37591666666667	-19.036	-8.577	1.548	3.246331666666667e-06
2016-10-19 16:00:00	2.3333333333333335	37.679	-19.036	-8.577	1.548	2.5585670833333334e-06
