,,,SSR-A_SBE,SSR-A_DBE,SSR-B_SBE,SSR-B_DBE,
1847150005,6E1945B5,2016-196T00,27,0,26,0,
1847153605,6E1953C5,2016-196T01,12,1,28,0,
1847157205,6E1961D5,2016-196T02,23,1,19,0,
1847160805,6E196FE5,2016-196T03,22,0,25,0,
1847164405,6E197DF5,2016-196T04,23,0,23,0,
1847168005,6E198C05,2016-196T05,19,0,21,0,
1847171605,6E199A15,2016-196T06,24,0,20,0,
1847175205,6E19A825,2016-196T07,26,0,26,1,
1847178805,6E19B635,2016-196T08,22,0,26,0,
1847182405,6E19C445,2016-196T09,20,2,18,0,
1847186005,6E19D255,2016-196T10,12,0,11,1,
1847189605,6E19E065,2016-196T11,21,0,29,0,
1847193205,6E19EE75,2016-196T12,25,0,16,0,
1847196805,6E19FC85,2016-196T13,26,0,17,1,
1847200405,6E1A0A95,2016-196T14,20,0,25,0,
1847204005,6E1A18A5,2016-196T15,17,0,16,0,
1847207605,6E1A26B5,2016-196T16,18,0,24,0,
1847211205,6E1A34C5,2016-196T17,16,1,22,0,
1847214805,6E1A42D5,2016-196T18,16,0,23,0,
1847218405,6E1A50E5,2016-196T19,22,0,24,0,
1847222005,6E1A5EF5,2016-196T20,31,1,21,0,
1847225605,6E1A6D05,2016-196T21,22,2,21,1,
1847229205,6E1A7B15,2016-196T22,21,0,30,0,
1847232805,6E1A8925,2016-196T23,18,0,15,0,
1847236405,6E1A9735,2016-197T00,14,0,16,0,
1847240005,6E1AA545,2016-197T01,17,0,24,1,
1847243605,6E1AB355,2016-197T02,12,0,18,0,
1847247205,6E1AC165,2016-197T03,21,0,21,0,
1847250805,6E1ACF75,2016-197T04,12,0,17,0,
1847254405,6E1ADD85,2016-197T05,18,0,18,0,
1847258005,6E1AEB95,2016-197T06,21,0,21,0,
1847261605,6E1AF9A5,2016-197T07,24,0,11,0,
1847265205,6E1B07B5,2016-197T08,18,0,6,1,
1847268805,6E1B15C5,2016-197T09,21,0,20,0,
1847272405,6E1B23D5,2016-197T10,21,0,13,2,
1847276005,6E1B31E5,2016-197T11,17,0,12,1,
1847279605,6E1B3FF5,2016-197T12,23,0,15,0,
1847283205,6E1B4E05,2016-197T13,26,0,13,0,
1847286805,6E1B5C15,2016-197T14,21,0,8,0,
1847290405,6E1B6A25,2016-197T15,32,0,14,0,
1847294005,6E1B7835,2016-197T16,28,0,15,0,
1847297605,6E1B8645,2016-197T17,28,0,9,0,
1847301205,6E1B9455,2016-197T18,21,0,11,0,
1847304805,6E1BA265,2016-197T19,29,1,16,1,
1847308405,6E1BB075,2016-197T20,32,2,15,0,
1847312005,6E1BBE85,2016-197T21,32,0,20,0,
1847315605,6E1BCC95,2016-197T22,28,0,16,0,
1847319205,6E1BDAA5,2016-197T23,29,0,7,0,
1847322805,6E1BE8B5,2016-198T00,28,0,7,0,
1847326405,6E1BF6C5,2016-198T01,24,0,15,0,
1847330005,6E1C04D5,2016-198T02,24,0,17,0,
1847333605,6E1C12E5,2016-198T03,24,0,18,0,
1847337205,6E1C20F5,2016-198T04,29,0,13,1,
1847340805,6E1C2F05,2016-198T05,22,0,14,0,
1847344405,6E1C3D15,2016-198T06,23,0,18,0,
1847348005,6E1C4B25,2016-198T07,34,1,24,0,
1847351605,6E1C5935,2016-198T08,27,0,8,0,
1847355205,6E1C6745,2016-198T09,32,0,9,1,
1847358805,6E1C7555,2016-198T10,25,0,13,0,
1847362405,6E1C8365,2016-198T11,25,0,12,0,
1847366005,6E1C9175,2016-198T12,28,0,11,0,
1847369605,6E1C9F85,2016-198T13,23,0,6,0,
1847373205,6E1CAD95,2016-198T14,39,0,19,1,
1847376805,6E1CBBA5,2016-198T15,30,0,14,0,
1847380405,6E1CC9B5,2016-198T16,26,0,6,0,
1847384005,6E1CD7C5,2016-198T17,24,0,18,0,
1847387605,6E1CE5D5,2016-198T18,25,0,9,1,
1847391205,6E1CF3E5,2016-198T19,31,0,15,0,
1847394805,6E1D01F5,2016-198T20,28,0,12,1,
1847398405,6E1D1005,2016-198T21,21,0,18,0,
1847402005,6E1D1E15,2016-198T22,29,0,13,0,
1847405605,6E1D2C25,2016-198T23,26,0,12,0,
1847409205,6E1D3A35,2016-199T00,24,0,20,0,
1847412805,6E1D4845,2016-199T01,25,1,8,0,
1847416405,6E1D5655,2016-199T02,29,0,7,0,
1847420005,6E1D6465,2016-199T03,33,0,12,0,
1847423605,6E1D7275,2016-199T04,20,0,16,1,
1847427205,6E1D8085,2016-199T05,24,0,6,0,
1847430805,6E1D8E95,2016-199T06,28,0,17,0,
1847434405,6E1D9CA5,2016-199T07,28,0,12,0,
1847438005,6E1DAAB5,2016-199T08,20,0,15,1,
1847441605,6E1DB8C5,2016-199T09,25,1,19,0,
1847445205,6E1DC6D5,2016-199T10,31,0,22,1,
1847448805,6E1DD4E5,2016-199T11,48,1,20,0,
1847452405,6E1DE2F5,2016-199T12,35,0,6,0,
1847456005,6E1DF105,2016-199T13,18,0,14,0,
1847459605,6E1DFF15,2016-199T14,23,0,16,0,
1847463205,6E1E0D25,2016-199T15,32,0,10,0,
1847466805,6E1E1B35,2016-199T16,23,0,16,0,
1847470405,6E1E2945,2016-199T17,19,0,11,0,
1847474005,6E1E3755,2016-199T18,20,0,10,0,
