Decimal,Hex Time,SCET,SSR-A-SBE,SSR-A-DBE,SSR-B-SBE,SSR-B-DBE,
1626851599,60F7C90F,2009-203T06,21,0,23,0,
1626855199,60F7D71F,2009-203T07,38,0,18,0,
1626858799,60F7E52F,2009-203T08,30,0,15,0,
1626862399,60F7F33F,2009-203T09,31,2,10,0,
1626865999,60F8014F,2009-203T10,25,0,12,0,
1626869599,60F80F5F,2009-203T11,36,2,12,1,
1626873199,60F81D6F,2009-203T12,30,0,25,0,
1626876799,60F82B7F,2009-203T13,36,0,20,0,
1626880399,60F8398F,2009-203T14,25,0,14,0,
1626883999,60F8479F,2009-203T15,23,0,22,0,
1626887599,60F855AF,2009-203T16,39,0,15,0,
1626891199,60F863BF,2009-203T17,29,0,24,0,
1626894799,60F871CF,2009-203T18,37,0,18,0,
1626898399,60F87FDF,2009-203T19,32,1,20,0,
1626901999,60F88DEF,2009-203T20,39,1,12,0,
1626905599,60F89BFF,2009-203T21,39,0,11,0,
1626909199,60F8AA0F,2009-203T22,36,0,12,0,
1626912799,60F8B81F,2009-203T23,40,1,20,0,
1626916399,60F8C62F,2009-204T00,41,0,18,0,
1626919999,60F8D43F,2009-204T01,41,0,18,0,
1626923599,60F8E24F,2009-204T02,42,0,10,0,
1626927199,60F8F05F,2009-204T03,30,0,20,0,
1626930799,60F8FE6F,2009-204T04,33,0,14,0,
1626934399,60F90C7F,2009-204T05,48,0,22,0,
1626937999,60F91A8F,2009-204T06,38,0,12,0,
1626941599,60F9289F,2009-204T07,38,0,13,0,
1626945199,60F936AF,2009-204T08,35,0,17,0,
1626948799,60F944BF,2009-204T09,30,0,16,0,
1626952399,60F952CF,2009-204T10,31,0,16,0,
1626955999,60F960DF,2009-204T11,32,1,22,0,
1626959599,60F96EEF,2009-204T12,42,1,16,1,
1626963199,60F97CFF,2009-204T13,38,1,23,1,
1626966799,60F98B0F,2009-204T14,32,0,13,0,
1626970399,60F9991F,2009-204T15,31,0,20,0,
1626973999,60F9A72F,2009-204T16,45,0,19,0,
1626977599,60F9B53F,2009-204T17,42,0,17,0,
1626981199,60F9C34F,2009-204T18,33,0,18,0,
1626984799,60F9D15F,2009-204T19,40,1,21,0,
1626988399,60F9DF6F,2009-204T20,33,0,9,0,
1626991999,60F9ED7F,2009-204T21,40,0,13,0,
1626995599,60F9FB8F,2009-204T22,46,0,20,1,
1626996736,60FA0000,2009-204T22,0,0,0,0,
1626999199,60FA099F,2009-204T23,40,0,14,0,
1627002799,60FA17AF,2009-205T00,36,0,9,0,
1627006399,60FA25BF,2009-205T01,34,0,12,0,
1627009999,60FA33CF,2009-205T02,38,0,14,2,
1627013599,60FA41DF,2009-205T03,42,1,19,0,
